ID,Treatment,nSF,Max_Stages_Reached,n_L_SF1,n_L_SF2,Alive,Contamination,Exclude,Shoot_Length_Init,Shoot_Length,Delta_Length,FW_Plant,DW_Plant,FW_Shoot,DW_Shoot,FW_Stem,DW_Stem,FW_L_SF1,DW_L_SF1,FW_L_SF2,DW_L_SF2,FW_L_Rest,DW_L_Rest,FW_Bud,DW_Bud,FW_Roots_Total,DW_Roots_Total,FW_PR,DW_PR,FW_LR,DW_LR,A_L_SF1,A_L_SF2,N_Ceno,N_Pilo,N_Other,N_No,Length_Tot,Area_Tot,Diameter_Avg,Root_Vol,Tips,Forks,Crossings,Length_Fine,SA_Fine,Vol_Fine
07052024012,Control,3,6,3,3,yes,no,no,3.5,8.5,5,2.3961,0.6028,1.2247,0.6028,0.3414,0.1491,0.2096,0.139,0.569,0.2533,0.0982,0.061,,,1.1674,0.323,0.737,0.26,0.2474,0.063,25.382,44.166,0,0,0,100,472.97,55.46,0.37,0.52,1687,2775,504,442.7515,35.0768,0.397
07052024013,Ceno,3,6,3,1,yes,no,no,1.9,5.4,3.5,1.4499,0.3725,0.7686,0.3725,0.1906,0.0895,0.1791,0.0987,0.3682,0.1657,0.025,0.019,,,0.634,0.21,0.4909,0.173,0.0967,0.037,17.35,21.404,2,0,0,116,361.29,41.83,0.37,0.39,1037,1484,263,346.2611,27.5765,0.2842
07052024014,Ceno,2,2,4,4,yes,no,no,2.9,6.3,3.4,1.708,0.3272,0.6259,0.3272,0.1741,0.0842,0.1042,0.0836,0.3402,0.157,,,0.0063,0.002,0.9994,0.355,0.717,0.279,0.2233,0.076,13.538,28.752,4,0,0,143,306.73,46.08,0.48,0.55,857,985,159,278.5922,25.9365,0.3116
07052024015,Ceno,2,1,2,4,yes,no,no,2.4,5.2,2.8,1.1379,0.2519,0.5223,0.2519,0.2228,0.1038,0.0394,0.0297,0.2505,0.1148,,,0.0067,0.004,0.5305,0.225,0.36,0.157,0.1698,0.067,4.982,22.84,2,0,0,132,275.87,34.59,0.4,0.35,794,995,128,265.3971,24.634,0.2887
07052024016,Ceno,2,3,1,2,yes,no,no,1.8,4.4,2.6,1.2827,0.2368,0.5345,0.2368,0.2731,0.1098,0.0197,0.0141,0.2294,0.1088,,,0.0119,0.004,0.6372,0.231,0.522,0.2,0.0735,0.031,4.982,19.73,12,0,0,163,284.97,37.83,0.42,0.4,800,1221,207,260.3188,20.2602,0.1993
07052024017,Ceno,2,2,4,5,yes,no,no,3.3,11.9,8.6,2.548,0.5258,1.2947,0.5258,0.418,0.1598,0.3124,0.1748,0.3191,0.0728,0.2125,0.114,0.009,0.004,1.0791,0.418,0.879,0.342,0.1991,0.076,33.524,27.135,19,0,0,172,543.11,54.2,0.32,0.43,2013,3522,779,517.5929,32.7813,0.3294
07052024018,Ceno,2,2,2,4,yes,no,no,3.1,5.5,2.4,1.9622,0.3142,0.6349,0.3142,0.2844,0.1363,0.066,0.0525,0.2657,0.1199,,,0.0136,0.006,1.3175,0.431,0.988,0.366,0.1677,0.065,7.728,23.168,21,0,0,198,618.31,59.93,0.31,0.46,2175,4088,917,584.6657,34.9778,0.3058
07052024019,Ceno,2,3,4,1,yes,no,no,5.6,7.9,2.3,1.6464,0.3312,0.6723,0.3312,0.2521,0.1186,0.2213,0.0972,0.0193,0.0055,0.1763,0.11,,,0.9672,0.312,0.659,0.256,0.1383,0.056,16.824,0.861,28,0,0,89,475.88,50.02,0.33,0.42,1627,3317,774,452.2502,31.4569,0.3192
07052024020,Ceno,2,4,2,3,yes,no,no,3.7,4.7,1,1.2326,0.254,0.5572,0.254,0.251,0.1104,0.0394,0.0257,0.257,0.1142,,,0.0084,0.004,0.6715,0.216,0.394,0.155,0.149,0.061,3.637,22.464,25,0,0,122,409.67,39.86,0.31,0.31,1416,2800,707,391.8733,24.7798,0.2273
07052024021,Ceno,2,3,3,3,yes,no,no,3.9,6.4,2.5,1.1698,0.2304,0.5372,0.2304,0.2097,0.0983,0.2219,0.1061,0.0983,0.026,,,,,0.6084,0.194,0.459,0.167,0.0838,0.028,19.872,7.977,6,0,0,71,254.94,26.91,0.34,0.23,1014,1478,329,237.4757,14.7795,0.1365
